day	genotype	time	mean_rewarded_nosepokes
Day1	MT	0	0.0
Day1	MT	1	0.0
Day1	MT	2	0.0
Day1	MT	3	0.0
Day1	MT	4	0.0
Day1	MT	5	0.0
Day1	MT	6	0.0
Day1	MT	7	0.0
Day1	MT	8	0.0
Day1	MT	9	0.0
Day1	MT	10	0.06666666666666667
Day1	MT	11	0.06666666666666667
Day1	MT	12	0.1
Day1	MT	13	0.1
Day1	MT	14	0.13333333333333333
Day1	MT	15	0.13333333333333333
Day1	MT	16	0.13333333333333333
Day1	MT	17	0.13333333333333333
Day1	MT	18	0.13333333333333333
Day1	MT	19	0.13333333333333333
Day1	MT	20	0.13333333333333333
Day1	MT	21	0.13333333333333333
Day1	MT	22	0.13333333333333333
Day1	MT	23	0.13333333333333333
Day1	MT	24	0.13333333333333333
Day1	MT	25	0.13333333333333333
Day1	MT	26	0.13333333333333333
Day1	MT	27	0.13333333333333333
Day1	MT	28	0.16666666666666666
Day1	MT	29	0.16666666666666666
Day1	MT	30	0.16666666666666666
Day1	MT	31	0.16666666666666666
Day1	MT	32	0.2
Day1	MT	33	0.2
Day1	MT	34	0.2
Day1	MT	35	0.2
Day1	MT	36	0.2
Day1	MT	37	0.2
Day1	MT	38	0.2
Day1	MT	39	0.23333333333333334
Day1	MT	40	0.23333333333333334
Day1	MT	41	0.23333333333333334
Day1	MT	42	0.23333333333333334
Day1	MT	43	0.23333333333333334
Day1	MT	44	0.23333333333333334
Day1	MT	45	0.23333333333333334
Day1	MT	46	0.23333333333333334
Day1	MT	47	0.23333333333333334
Day1	MT	48	0.23333333333333334
Day1	MT	49	0.23333333333333334
Day1	MT	50	0.23333333333333334
Day1	MT	51	0.23333333333333334
Day1	MT	52	0.23333333333333334
Day1	MT	53	0.23333333333333334
Day1	MT	54	0.23333333333333334
Day1	MT	55	0.23333333333333334
Day1	MT	56	0.23333333333333334
Day1	MT	57	0.23333333333333334
Day1	MT	58	0.23333333333333334
Day1	MT	59	0.23333333333333334
Day1	MT	60	0.23333333333333334
Day1	MT	61	0.23333333333333334
Day1	MT	62	0.23333333333333334
Day1	MT	63	0.23333333333333334
Day1	MT	64	0.23333333333333334
Day1	MT	65	0.23333333333333334
Day1	MT	66	0.23333333333333334
Day1	MT	67	0.23333333333333334
Day1	MT	68	0.23333333333333334
Day1	MT	69	0.26666666666666666
Day1	MT	70	0.26666666666666666
Day1	MT	71	0.26666666666666666
Day1	MT	72	0.3
Day1	MT	73	0.3
Day1	MT	74	0.3
Day1	MT	75	0.3
Day1	MT	76	0.3333333333333333
Day1	MT	77	0.3333333333333333
Day1	MT	78	0.3333333333333333
Day1	MT	79	0.3333333333333333
Day1	MT	80	0.3333333333333333
Day1	MT	81	0.3333333333333333
Day1	MT	82	0.3333333333333333
Day1	MT	83	0.3333333333333333
Day1	MT	84	0.36666666666666664
Day1	MT	85	0.36666666666666664
Day1	MT	86	0.36666666666666664
Day1	MT	87	0.36666666666666664
Day1	MT	88	0.36666666666666664
Day1	MT	89	0.36666666666666664
Day1	MT	90	0.36666666666666664
Day1	MT	91	0.36666666666666664
Day1	MT	92	0.36666666666666664
Day1	MT	93	0.36666666666666664
Day1	MT	94	0.36666666666666664
Day1	MT	95	0.36666666666666664
Day1	MT	96	0.36666666666666664
Day1	MT	97	0.36666666666666664
Day1	MT	98	0.36666666666666664
Day1	MT	99	0.4
Day1	MT	100	0.4
Day1	MT	101	0.4
Day1	MT	102	0.43333333333333335
Day1	MT	103	0.43333333333333335
Day1	MT	104	0.43333333333333335
Day1	MT	105	0.43333333333333335
Day1	MT	106	0.43333333333333335
Day1	MT	107	0.4666666666666667
Day1	MT	108	0.4666666666666667
Day1	MT	109	0.4666666666666667
Day1	MT	110	0.4666666666666667
Day1	MT	111	0.4666666666666667
Day1	MT	112	0.4666666666666667
Day1	MT	113	0.4666666666666667
Day1	MT	114	0.4666666666666667
Day1	MT	115	0.4666666666666667
Day1	MT	116	0.4666666666666667
Day1	MT	117	0.4666666666666667
Day1	MT	118	0.4666666666666667
Day1	MT	119	0.4666666666666667
Day1	MT	120	0.5
Day1	MT	121	0.5
Day1	MT	122	0.5333333333333333
Day1	MT	123	0.5666666666666667
Day1	MT	124	0.5666666666666667
Day1	MT	125	0.5666666666666667
Day1	MT	126	0.5666666666666667
Day1	MT	127	0.5666666666666667
Day1	MT	128	0.5666666666666667
Day1	MT	129	0.5666666666666667
Day1	MT	130	0.5666666666666667
Day1	MT	131	0.5666666666666667
Day1	MT	132	0.5666666666666667
Day1	MT	133	0.5666666666666667
Day1	MT	134	0.5666666666666667
Day1	MT	135	0.5666666666666667
Day1	MT	136	0.5666666666666667
Day1	MT	137	0.5666666666666667
Day1	MT	138	0.5666666666666667
Day1	MT	139	0.6
Day1	MT	140	0.6
Day1	MT	141	0.6
Day1	MT	142	0.6333333333333333
Day1	MT	143	0.6333333333333333
Day1	MT	144	0.6666666666666666
Day1	MT	145	0.6666666666666666
Day1	MT	146	0.6666666666666666
Day1	MT	147	0.6666666666666666
Day1	MT	148	0.6666666666666666
Day1	MT	149	0.6666666666666666
Day1	MT	150	0.6666666666666666
Day1	MT	151	0.6666666666666666
Day1	MT	152	0.7
Day1	MT	153	0.7
Day1	MT	154	0.7
Day1	MT	155	0.7
Day1	MT	156	0.7
Day1	MT	157	0.7
Day1	MT	158	0.7
Day1	MT	159	0.7
Day1	MT	160	0.7333333333333333
Day1	MT	161	0.7333333333333333
Day1	MT	162	0.7333333333333333
Day1	MT	163	0.7333333333333333
Day1	MT	164	0.8
Day1	MT	165	0.8
Day1	MT	166	0.8333333333333334
Day1	MT	167	0.8333333333333334
Day1	MT	168	0.8333333333333334
Day1	MT	169	0.8666666666666667
Day1	MT	170	0.9
Day1	MT	171	0.9
Day1	MT	172	0.9
Day1	MT	173	0.9
Day1	MT	174	0.9
Day1	MT	175	0.9333333333333333
Day1	MT	176	0.9333333333333333
Day1	MT	177	0.9333333333333333
Day1	MT	178	0.9333333333333333
Day1	MT	179	0.9333333333333333
Day1	MT	180	0.9666666666666667
Day1	MT	181	1.0
Day1	MT	182	1.0
Day1	MT	183	1.0
Day1	MT	184	1.0
Day1	MT	185	1.0333333333333334
Day1	MT	186	1.0333333333333334
Day1	MT	187	1.0333333333333334
Day1	MT	188	1.0333333333333334
Day1	MT	189	1.0333333333333334
Day1	MT	190	1.0333333333333334
Day1	MT	191	1.0333333333333334
Day1	MT	192	1.0333333333333334
Day1	MT	193	1.0333333333333334
Day1	MT	194	1.0333333333333334
Day1	MT	195	1.0333333333333334
Day1	MT	196	1.0333333333333334
Day1	MT	197	1.0333333333333334
Day1	MT	198	1.0333333333333334
Day1	MT	199	1.0333333333333334
Day1	MT	200	1.0333333333333334
Day1	MT	201	1.0333333333333334
Day1	MT	202	1.0333333333333334
Day1	MT	203	1.0333333333333334
Day1	MT	204	1.0333333333333334
Day1	MT	205	1.0333333333333334
Day1	MT	206	1.0333333333333334
Day1	MT	207	1.0333333333333334
Day1	MT	208	1.0333333333333334
Day1	MT	209	1.0333333333333334
