StartDate	EndDate	Subject	Experiment	Group	Box	StartTime	StartDateTime	EndTime	MSN	Genotype	Day	Animal
2022-05-08	2022-05-08	1_EN#20_1215	20220508	1	4	07:16:07	2022-05-08 07:16:07	08:46:25	CRF	MT	Day1	EN#20
2022-05-08	2022-05-08	EN#26_1016	20220508	7	4	17:41:51	2022-05-08 17:41:51	19:11:59	CRF	MT	Day1	EN#26
2022-05-08	2022-05-08	EN#76_0924	20220508	7	1	17:41:21	2022-05-08 17:41:21	19:11:54	CRF	MT	Day1	EN#76
2022-05-08	2022-05-08	EN#77_0924	20220508	7	2	17:41:27	2022-05-08 17:41:27	19:11:56	CRF	MT	Day1	EN#77
2022-05-13	2022-05-13	EN#35_1101	20220513	8	2	12:58:24	2022-05-13 12:58:24	13:54:32	CRF	MT	Day1	EN#35
2022-05-13	2022-05-13	EN#24_1220	20220513	9	1	14:30:04	2022-05-13 14:30:04	16:00:10	CRF	MT	Day1	EN#24
2022-05-13	2022-05-13	EN#26_1220	20220513	9	3	14:38:30	2022-05-13 14:38:30	16:16:51	CRF	MT	Day1	EN#26
2022-05-13	2022-05-13	EN#28_1220	20220513	10	1	16:11:06	2022-05-13 16:11:06	17:41:15	CRF	MT	Day1	EN#28
2022-05-13	2022-05-13	EN#50_1224	20220513	10	4	16:26:05	2022-05-13 16:26:05	17:56:38	CRF	MT	Day1	EN#50
2022-11-03	2022-11-03	1_EN#71-0630	20221103	1	2	06:37:55	2022-11-03 06:37:55	07:59:41	CRF	MT	Day1	EN#71
2022-11-03	2022-11-03	1_EN#68-0630	20221103	1	3	06:38:12	2022-11-03 06:38:12	08:09:13	CRF	MT	Day1	EN#68
2022-11-03	2022-11-03	2_EN#50-0710	20221103	2	2	08:12:53	2022-11-03 08:12:53	09:42:57	CRF	MT	Day1	EN#50
2022-11-03	2022-11-03	2_EN#81-0824	20221103	2	3	08:17:06	2022-11-03 08:17:06	09:47:09	CRF	MT	Day1	EN#81
2022-11-03	2022-11-03	3_EN#46-0710	20221103	3	1	10:00:47	2022-11-03 10:00:47	11:32:27	CRF	MT	Day1	EN#46
2022-11-03	2022-11-03	3_EN#57-0709	20221103	3	4	10:01:09	2022-11-03 10:01:09	11:31:15	CRF	MT	Day1	EN#57
